,Player,Team,Position,GP,TOI,TOIperGP,Goalsper60,Total Assistsper60,First Assistsper60,Second Assistsper60,Total Pointsper60,IPP,Shotsper60,SHpct,ixGper60,iCFper60,iFFper60,iSCFper60,iHDCFper60,Rush Attemptsper60,Rebounds Createdper60,PIMper60,Total Penaltiesper60,Minorper60,Majorper60,Misconductper60,Penalties Drawnper60,Giveawaysper60,Takeawaysper60,Hitsper60,Hits Takenper60,Shots Blockedper60,Faceoffs Wonper60,Faceoffs Lostper60,Faceoffs pct
368,Will Butcher,BUF,D,37,607.3166667,16.41396396,0.2,0.59,0.3,0.3,0.79,36.36,3.46,5.71,0.2,7.71,5.93,2.27,0.59,0.4,0.2,0,0,0,0,0,0.1,0.99,0.1,1.09,3.56,3.16,0,0,-
391,Jason Dickinson,VAN,C,62,809.1333333,13.05053763,0.37,0.44,0.15,0.3,0.82,52.38,4.89,7.58,0.58,9.27,7.27,5.86,2.45,0.59,0.59,1.41,0.59,0.52,0.07,0,0.52,0.67,1.48,7.49,8.53,3.19,9.12,12.31,3.16
415,Rasmus Ristolainen,PHI,D,66,1415.1,21.44090909,0.08,0.59,0.3,0.3,0.68,25.4,4.11,2.06,0.25,8.48,5.94,2.76,1.02,0.34,0.72,1.61,0.81,0.81,0,0,0.55,1.4,0.51,9.75,8.44,5.3,0,0,-
443,Sam Bennett,FLA,C,71,1203.466667,16.95023474,1.4,1.05,0.75,0.3,2.44,56.98,12.02,11.62,1.25,19.84,14.56,12.91,5.53,0.55,1.45,3.69,1.7,1.6,0.1,0,1.3,2.44,2.04,5.93,5.19,1.35,20.49,23.23,2.34
453,Sonny Milano,ANA,L,66,1008.35,15.2780303,0.83,1.19,0.89,0.3,2.02,57.63,5.59,14.89,0.71,10.53,8.39,6.78,3.87,0.18,0.42,0.6,0.3,0.3,0,0,0.36,2.02,1.73,1.61,5.3,0.89,0,0.12,0
595,Mason Appleton,"SEA, WPG",C,68,1012.166667,14.88480392,0.47,0.77,0.47,0.3,1.24,52.5,5.81,8.16,0.67,10.14,8.06,5.39,2.79,0.06,0.59,1.78,0.65,0.59,0,0.06,0.65,0.77,0.89,3.79,6.52,1.19,0.41,0.89,1.89
599,Sami Niku,MTL,D,13,198.6833333,15.28333333,0,1.81,1.51,0.3,1.81,60,4.23,0,0.13,8.15,5.13,1.21,0.3,0.3,0.3,0.6,0.3,0.3,0,0,0.3,1.51,0.6,1.81,6.04,5.13,0,0,-
636,Kale Clague,"L.A, MTL",D,36,602.55,16.7375,0.2,0.8,0.5,0.3,1,55.56,2.59,7.69,0.14,5.58,3.09,2.59,0.5,0.3,0.4,1.99,1,1,0,0,0.1,3.49,0.6,1.39,4.78,2.29,0,0,-
699,Casey Fitzgerald,BUF,D,36,604.1666667,16.78240741,0,0.6,0.3,0.3,0.6,30,4.07,0,0.16,6.65,4.97,1.69,0.3,0.1,0.1,3.58,0.79,0.3,0.4,0.1,0.89,1.69,1.29,8.54,4.77,3.48,0,0,-
814,Pius Suter,DET,C,82,1387.683333,16.92296748,0.65,0.91,0.61,0.3,1.56,66.67,7.18,9.04,0.89,11.54,9.34,8.17,3.68,0.52,1.08,0.95,0.48,0.48,0,0,0.43,1.56,1.99,1.04,1.6,1.6,21.4,22.01,2.13
